laptop_ID,Price_in_euros
209,-1363.155429840088
1281,-271.98654556274414
1168,-319.60057258605957
1231,-968.1660575866699
1020,-1175.4263229370117
379,-467.5393695831299
553,-761.588981628418
172,-821.9585266113281
779,-1148.012332458496
609,-311.60392570495605
256,-1747.3749885559082
117,-1593.7842025756836
283,-467.09149169921875
1195,-1263.670467376709
588,-979.8873324584961
743,-753.192232131958
715,-1810.9811935424805
160,-1277.920654296875
1021,-1403.9853324890137
49,-611.2570266723633
690,-2014.5035781860352
1135,-178.2516269683838
852,-882.2882633209229
857,-989.9678421020508
210,-418.79490661621094
485,-648.3658409118652
560,-521.1529735565185
1209,-631.7771663665771
953,-2712.2539596557617
460,-1312.5539016723633
1092,-2452.2184982299805
152,-426.7395477294922
806,-781.4159736633301
986,-2746.104179382324
917,-2052.2608795166016
408,-1484.5103340148926
942,-682.1621938323974
959,-963.8412437438965
461,-946.4028244018555
858,-2236.710216522217
329,-874.7452030181885
1293,-701.5736694335938
1284,-526.2173845672608
628,-1429.6728858947754
262,-1023.5330352783203
933,-1088.1096955871583
676,-1224.3802909851074
608,-644.7072987365723
125,-603.9208679199219
450,-327.55245208740234
67,-1938.4175453186035
93,-661.8189792633057
769,-1013.7081260681152
1070,-476.45970726013184
1162,-1755.153491973877
594,-1628.7499237060547
288,-552.1278171539307
273,-986.912073135376
355,-634.1537952423096
717,-634.6816842651367
18,-2805.345069885254
804,-2287.170627593994
60,-393.5721092224121
186,-1804.0673828125
298,-1792.6626472473145
864,-1865.7692375183105
1026,-1558.5142936706543
240,-868.4184532165527
875,-2198.347099304199
276,-1504.4248580932617
939,-700.7278903961181
436,-274.1703929901123
702,-940.684741973877
938,-1784.381923675537
558,-1086.5979559326172
527,-1364.2608375549316
624,-1349.1045875549316
1128,-1926.8762893676758
844,-2734.521944885254
811,-1462.1382064819336
129,-783.9844436645508
994,-1262.13285446167
445,-2331.8499183654785
1051,-1684.7039604187012
937,-1937.248893737793
1073,-1776.2806587219238
382,-529.8748397827148
765,-1066.633529663086
159,-600.9760990142822
998,-885.6800327301025
696,-546.4153900146484
90,-1406.7651634216309
1082,-764.5027291870117
913,-1219.4150199890137
252,-2943.922348022461
1183,-1459.5957565307617
589,-691.5734920501709
962,-635.2761497497559
989,-944.3565406799316
361,-939.1449035644531
849,-1759.2685737609863
1067,-952.5694847106934
1,-1302.583009185791
380,-835.9650590515137
344,-257.9291403198242
683,-1250.5238342285156
405,-2670.514579772949
602,-436.6579189300537
1296,-359.72863960266113
782,-1066.0863914489746
91,-1612.843849182129
1122,-835.9491157531738
251,-534.7753734588623
218,-524.2265071868896
941,-1130.7481536865234
533,-772.5025959014893
1258,-575.5237754058838
1059,-2063.732387390137
905,-2608.2410774230957
220,-897.0378636169434
230,-802.1745128631592
1319,-736.001049041748
265,-1107.9471626281738
906,-1434.7763290405273
880,-1736.18550491333
733,-468.32608070373533
1004,-1872.7944374084473
866,-915.6334552764893
80,-507.61266899108887
1278,-806.3539102172851
744,-2375.142738342285
1010,-1310.7153663635254
351,-1088.8505859375
524,-2928.2375717163086
573,-929.4463882446289
208,-3002.7162437438965
799,-1302.7968826293945
97,-814.437255859375
375,-1710.5279808044434
1076,-533.8803520202637
189,-1513.8428497314453
225,-652.0074459075928
1084,-1265.6309928894043
1029,-1175.0568504333496
1248,-1610.5463333129883
73,-920.1578636169434
1178,-1456.7376594543457
659,-682.8838405609131
87,-1310.6286582946777
474,-731.8864841461182
1111,-611.2708805084228
56,-738.2833736419677
816,-606.3141021728516
1077,-958.9365446472168
348,-686.7891597747803
664,-889.6913185119629
536,-1341.9023895263672
248,-851.116979598999
3,-548.5670986175537
170,-345.20310188293456
555,-376.5948009490967
612,-2251.3250579833984
1239,-1442.79062210083
981,-658.8352298736572
487,-1229.9148406982422
404,-906.486665725708
1031,-2923.9099044799805
1314,-193.92956924438477
320,-812.8012809753418
729,-805.1614013671875
1107,-1561.8768920898438
314,-448.530086517334
1273,-320.62362480163574
1270,-544.9253025054932
693,-2764.639289855957
1205,-664.6328277587891
911,-904.0418720245361
272,-445.00937843322754
532,-1304.7287673950195
1102,-1162.4682388305664
1182,-451.5774824523926
839,-5421.788726806641
529,-1247.252331237793
863,-835.0462417602539
772,-1095.0637474060059
1221,-2635.6005096435547
759,-454.69141960144043
1194,-794.6479415893555
821,-1463.0697937011719
497,-979.8479483032227
100,-550.7954902648926
1204,-1138.037685394287
1071,-428.5858345031738
1202,-770.3010349273682
881,-1029.8042888641357
919,-341.0573024749756
968,-1450.7184965515137
299,-707.7159423828125
632,-870.9234561920166
36,-232.24281692504883
193,-1050.9471626281738
1274,-1855.4094009399414
481,-1261.5302925109863
143,-630.3419971466064
999,-573.2228507995605
383,-289.78081130981445
1075,-957.4250411987305
168,-330.8498420715332
515,-1283.8091621398926
662,-345.7433456420898
1150,-1069.1063766479492
108,-630.7375354766846
997,-620.60524559021
103,-688.053991317749
308,-526.7152462005615
975,-1720.2822380065918
872,-1314.6469116210938
1170,-573.0069580078125
425,-513.9292232513428
179,-435.2870330810547
217,-328.29048919677734
803,-1129.5508422851562
1148,-714.8854370117188
814,-1353.162986755371
774,-625.1339206695557
908,-897.5863246917725
1006,-253.09376251220704
1247,-1114.4687614440918
707,-660.2064361572266
1230,-1910.0754721069336
381,-465.8900415802002
882,-458.32796478271484
708,-792.1513671875
502,-1061.2160568237305
1169,-280.0267219543457
550,-771.8838405609131
1096,-3181.5710678100586
24,-787.6763019561768
784,-806.5583763122559
556,-1691.7392921447754
807,-1307.0681343078613
1245,-497.6522706604004
751,-965.4009857177734
1039,-1525.624382019043
1176,-758.9027902984619
797,-2250.3020401000977
830,-1060.0523414611816
865,-754.5283889770508
313,-787.0433483123779
1217,-2003.6026405334474
1046,-1154.910595703125
1253,-455.72878646850586
931,-1555.6173706054688
232,-737.3771648406982
1174,-1449.4173706054687
969,-3104.3620529174805
548,-711.4063292694092
164,-381.5868968963623
1047,-1159.0007820129395
77,-915.5908279418945
652,-429.2040100097656
554,-438.188191986084
512,-913.3762817382812
1127,-407.3376636505127
1131,-2697.6371290588377
785,-2326.6043853759766
140,-905.0648384094238
1225,-280.62499046325684
922,-1855.3311500549316
479,-1237.2757835388184
544,-378.89593338012696
841,-494.6416301727295
478,-1120.4330520629883
1155,-2135.919348449707
113,-1224.305576324463
284,-821.4060249328613
415,-387.5432434082031
735,-625.2443466186523
604,-1441.518943786621
33,-416.88920402526855
177,-465.5967445373535
363,-969.9864234924316
888,-898.4403266906738
530,-666.3550395965576
150,-325.4483947753906
62,-846.5566520690918
1212,-1168.474328994751
752,-3249.785388946533
851,-3016.2989431762694
1097,-623.9415564727783
84,-829.3817729949951
1042,-1589.4547653198242
605,-1629.8539009094238
668,-1195.985939025879
1066,-1061.632423400879
1237,-1110.6854057312012
1259,-1242.8571090698242
198,-810.0011100769043
617,-4845.436290740967
420,-756.2879655456543
1267,-1768.0839500427246
11,-370.9044555664062
800,-185.9346851348877
829,-468.99355735778806
368,-691.5272998809814
1164,-2256.6492034912108
809,-2022.3362030029298
1255,-708.419095993042
793,-2253.045955657959
1142,-1857.4036712646484
47,-349.22771644592285
1264,-845.7400512695312
428,-432.0559024810791
1308,-437.23555183410645
374,-868.0204372406006
301,-947.7538604736328
767,-2820.835317840576
1009,-1119.4385986328125
82,-1064.6367875671388
280,-684.3791144561768
940,-1609.2771911621094
1172,-2218.3044888305662
1157,-1106.4189193725585
1238,-1496.1473579406738
315,-963.6393013000488
583,-1819.6824226379395
704,-1702.4530029296875
649,-495.2601188659668
897,-433.72090644836425
1064,-2578.885093688965
147,-350.02659797668457
274,-848.5643272399902
1087,-1158.2190322875977
1193,-744.1139717102051
1045,-389.1661186218262
433,-1110.6449035644532
68,-418.43984550476074
1141,-456.6715564727783
777,-1559.2085494995117
72,-1057.215410232544
900,-358.7597064971924
419,-446.18882179260254
577,-1821.6783354187012
656,-1174.1219787597656
249,-1037.0681343078613
713,-765.6047191619873
1272,-424.02784370422364
300,-1265.1375541687012
457,-563.8405647277832
268,-630.39186668396
122,-1088.3433799743652
531,-857.6775379180908
399,-668.3692858123779
109,-393.596813583374
971,-745.1360015869141
310,-342.52071784973145
692,-1461.3415336608887
392,-524.7791938781738
812,-1717.9285202026367
794,-1847.756446838379
950,-536.2491298675537
173,-728.8402996063232
892,-655.0039260864257
1143,-959.6082382202148
665,-1100.8864402770996
776,-1060.698959350586
868,-2516.285846710205
658,-2741.8834266662598
1023,-657.5723571777344
495,-1753.1613998413086
885,-1808.9502868652344
1220,-1247.1454048156738
332,-525.9625911712646
192,-953.6601867675781
429,-1391.182460784912
1079,-1887.980369567871
846,-645.5967445373535
561,-1248.8476123809814
330,-636.4662456512451
158,-593.4637794494629
127,-429.977014541626
38,-945.498893737793
1032,-1452.3079833984375
1201,-313.85912322998047
646,-1715.1853579711915
679,-788.0446464538575
820,-2367.111427307129
948,-1073.047010421753
483,-2367.2944717407227
1017,-748.8796539306641
421,-891.3620414733887
