laptop_ID,Company,TypeName,OpSys,Full_HD,IPS_Panel,Touchscreen,4K_Ultra_HD,Retina_Display,Quad_HDplus,PPI,Ram_GB,Weight_kg,SSD,HDD,Flash_Storage,Hybrid,Memory_GB,cpu_marca,cpu_familia,cpu_ghz,brand_gpu,family_gpu
1118,31.622776601683793,44.44097208657794,37.900584364392415,1,1,0,0,0,0,127.33567457123111,8,3.0,0,1,0,0,1024,31.709571965613,37.403208418530085,2.6,26.62639174419421,37.0
153,31.495835455754325,38.5586566156032,32.31098513719976,1,0,0,0,0,0,141.21199808219862,16,2.56,1,0,0,0,512,31.709571965613,37.403208418530085,2.8,34.62657938636157,34.496373576304066
275,35.76310948449533,38.66522985836241,38.96857708462037,0,1,0,0,1,0,226.98300468106115,8,1.37,1,0,0,0,512,31.709571965613,30.935399707564464,2.9,30.166206257996713,42.41462012089699
1100,31.622776601683793,26.429148880025192,37.900584364392415,1,0,0,0,0,0,157.3505121487356,4,1.54,0,1,0,0,500,31.709571965613,30.935399707564464,2.3,30.166206257996713,29.981994594902375
131,31.495835455754325,26.429148880025192,32.31098513719976,1,0,0,0,0,0,127.33567457123111,16,2.8,1,1,0,0,2304,31.709571965613,37.403208418530085,1.8,26.62639174419421,26.43860813280457
1126,31.495835455754325,26.429148880025192,37.900584364392415,0,0,0,0,0,0,100.45466986113651,4,2.24,0,1,0,0,500,31.709571965613,30.935399707564464,2.3,26.62639174419421,26.43860813280457
203,31.622776601683793,26.429148880025192,32.31098513719976,1,0,0,0,0,0,127.33567457123111,8,2.5,1,0,0,0,256,31.709571965613,37.403208418530085,1.8,34.62657938636157,34.496373576304066
853,31.495835455754325,26.429148880025192,32.31098513719976,0,0,0,0,0,0,100.45466986113651,8,2.18,1,0,0,0,128,31.709571965613,30.935399707564464,2.5,30.166206257996713,29.981994594902375
1244,31.495835455754325,38.66522985836241,32.31098513719976,0,0,1,0,0,1,276.053530085501,8,1.29,1,0,0,0,256,31.709571965613,37.403208418530085,2.7,30.166206257996713,29.981994594902375
585,39.09432781989371,38.5586566156032,32.31098513719976,1,0,0,0,0,0,127.33567457123111,16,4.14,1,1,0,0,1536,31.709571965613,37.403208418530085,2.9,34.62657938636157,34.496373576304066
819,31.622776601683793,38.5586566156032,32.31098513719976,1,1,0,0,0,0,127.33567457123111,12,3.74,0,1,0,0,1024,31.709571965613,37.403208418530085,2.8,26.62639174419421,26.43860813280457
438,29.9833287011299,26.429148880025192,32.31098513719976,1,1,0,0,0,0,165.6321180513006,8,1.4,1,0,0,0,256,31.709571965613,37.403208418530085,2.7,30.166206257996713,29.981994594902375
296,30.740852297878796,38.5586566156032,32.31098513719976,1,0,0,0,0,0,127.33567457123111,8,3.0,0,1,0,0,1024,31.709571965613,37.403208418530085,2.8,34.62657938636157,34.496373576304066
