laptop_ID,Company,TypeName,Inches,OpSys,Touchscreen,IPS,ResX,ResY,PPI,Cpu_brand,Cpu_family,Cpu_speed,Gpu_brand,Gpu_dedicated,HDD,SSD,Flash,Hybrid,Total_Storage,Ram_GB,Weight_kg,Cpu_gen,Gpu_model_num,Gpu_is_integrated,Cpu_power,Gpu_power,Has_SSD,Has_HDD,Storage_speed,Weight_per_inch,Ram_per_kg,Weight_norm,Ram_norm,Company_category,OS_category
1118,HP,Workstation,17.3,Windows 7,0,1,1920.0,1080.0,127.33567457123111,Intel,i7,2.6,AMD,1,1000.0,0.0,0.0,0.0,1000.0,8,3.0,67.0,6150.0,0,174.20000000000002,6150.0,0,1,1,0.17341040462427745,2.6666666666666665,0.6382978723404255,0.25,Business,Windows
153,Dell,Gaming,15.6,Windows 10,0,0,1920.0,1080.0,141.21199808219862,Intel,i7,2.8,Nvidia,1,0.0,512.0,0.0,0.0,512.0,16,2.56,77.0,1050.0,0,215.6,1050.0,1,0,2,0.1641025641025641,6.25,0.5446808510638298,0.5,Business,Windows
275,Apple,Ultrabook,13.3,macOS,0,1,2560.0,1600.0,226.98300468106115,Intel,i5,2.9,Intel,0,0.0,512.0,0.0,0.0,512.0,8,1.37,72.0,550.0,1,208.79999999999998,0.0,1,0,2,0.10300751879699248,5.839416058394161,0.2914893617021277,0.25,Premium,macOS
1100,HP,Notebook,14.0,Windows 7,0,0,1920.0,1080.0,157.3505121487356,Intel,i5,2.3,Intel,0,500.0,0.0,0.0,0.0,500.0,4,1.54,62.0,520.0,1,142.6,0.0,0,1,1,0.11,2.5974025974025974,0.3276595744680851,0.125,Business,Windows
131,Dell,Notebook,17.3,Windows 10,0,0,1920.0,1080.0,127.33567457123111,Intel,i7,1.8,AMD,1,2000.0,256.0,0.0,0.0,2256.0,16,2.8,85.0,530.0,0,153.0,530.0,1,1,3,0.16184971098265893,5.714285714285714,0.5957446808510638,0.5,Business,Windows
1126,Dell,Notebook,15.6,Windows 7,0,0,1366.0,768.0,100.45466986113651,Intel,i5,2.3,AMD,1,500.0,0.0,0.0,0.0,500.0,4,2.24,62.0,315.0,0,142.6,315.0,0,1,1,0.1435897435897436,1.7857142857142856,0.4765957446808511,0.125,Business,Windows
203,HP,Notebook,17.3,Windows 10,0,0,1920.0,1080.0,127.33567457123111,Intel,i7,1.8,Nvidia,1,0.0,256.0,0.0,0.0,256.0,8,2.5,85.0,930.0,0,153.0,930.0,1,0,2,0.1445086705202312,3.2,0.5319148936170213,0.25,Business,Windows
853,Dell,Notebook,15.6,Windows 10,0,0,1366.0,768.0,100.45466986113651,Intel,i5,2.5,Intel,0,0.0,128.0,0.0,0.0,128.0,8,2.18,72.0,620.0,1,180.0,0.0,1,0,2,0.13974358974358975,3.6697247706422016,0.46382978723404256,0.25,Business,Windows
1244,Dell,Ultrabook,13.3,Windows 10,1,0,3200.0,1800.0,276.053530085501,Intel,i7,2.7,Intel,0,0.0,256.0,0.0,0.0,256.0,8,1.29,75.0,620.0,1,202.5,0.0,1,0,2,0.09699248120300752,6.201550387596899,0.274468085106383,0.25,Business,Windows
585,MSI,Gaming,17.3,Windows 10,0,0,1920.0,1080.0,127.33567457123111,Intel,i7,2.9,Nvidia,1,1000.0,512.0,0.0,0.0,1512.0,16,4.14,78.0,1070.0,0,226.2,1070.0,1,1,3,0.23930635838150285,3.8647342995169085,0.8808510638297872,0.5,Budget,Windows
